Type ,Case,Size,Swaps,Greater,Equals,Order
MERGE_BOTTOM_UP,RANDOM,100,0,688,0,688
MERGE_BOTTOM_UP,RANDOM,500,0,4492,0,4492
MERGE_BOTTOM_UP,RANDOM,1000,0,9984,0,9984
MERGE_BOTTOM_UP,RANDOM,2500,0,29080,0,29080
MERGE_BOTTOM_UP,RANDOM,5000,0,63160,0,63160
MERGE_TOP_DOWN,RANDOM,100,0,672,0,672
MERGE_TOP_DOWN,RANDOM,500,0,4488,0,4488
MERGE_TOP_DOWN,RANDOM,1000,0,9976,0,9976
MERGE_TOP_DOWN,RANDOM,2500,0,28404,0,28404
MERGE_TOP_DOWN,RANDOM,5000,0,61808,0,61808
